광역,군구, 총인구 , 총인구남 , 총인구여 , 내국인계 , 내국인남 , 내국인여 , 외국인계 , 외국인남 , 외국인여 
대구광역시,대구광역시," 2,387,911 "," 1,177,420 "," 1,210,491 "," 2,350,955 "," 1,158,350 "," 1,192,605 "," 36,956 "," 19,070 "," 17,886 "
대구광역시,중구," 72,834 "," 34,835 "," 37,999 "," 72,112 "," 34,526 "," 37,586 ", 722 , 309 , 413 
대구광역시,동구," 332,637 "," 162,891 "," 169,746 "," 330,408 "," 162,181 "," 168,227 "," 2,229 ", 710 ," 1,519 "
대구광역시,서구," 165,455 "," 82,384 "," 83,071 "," 162,512 "," 80,882 "," 81,630 "," 2,943 "," 1,502 "," 1,441 "
대구광역시,남구," 144,898 "," 69,140 "," 75,758 "," 142,958 "," 68,352 "," 74,606 "," 1,940 ", 788 ," 1,152 "
대구광역시,북구," 444,446 "," 221,221 "," 223,225 "," 438,182 "," 218,301 "," 219,881 "," 6,264 "," 2,920 "," 3,344 "
대구광역시,수성구," 408,085 "," 197,716 "," 210,369 "," 405,938 "," 196,873 "," 209,065 "," 2,147 ", 843 ," 1,304 "
대구광역시,달서구," 554,702 "," 274,424 "," 280,278 "," 541,730 "," 267,202 "," 274,528 "," 12,972 "," 7,222 "," 5,750 "
대구광역시,달성군," 264,854 "," 134,809 "," 130,045 "," 257,115 "," 130,033 "," 127,082 "," 7,739 "," 4,776 "," 2,963 "
인천광역시,인천광역시," 2,957,044 "," 1,482,202 "," 1,474,842 "," 2,856,665 "," 1,427,672 "," 1,428,993 "," 100,379 "," 54,530 "," 45,849 "
인천광역시,중구," 141,758 "," 73,095 "," 68,663 "," 136,607 "," 70,465 "," 66,142 "," 5,151 "," 2,630 "," 2,521 "
인천광역시,동구," 61,053 "," 30,640 "," 30,413 "," 59,863 "," 30,009 "," 29,854 "," 1,190 ", 631 , 559 
인천광역시,연수구," 399,594 "," 198,779 "," 200,815 "," 379,697 "," 188,497 "," 191,200 "," 19,897 "," 10,282 "," 9,615 "
인천광역시,남동구," 521,165 "," 260,262 "," 260,903 "," 504,770 "," 250,105 "," 254,665 "," 16,395 "," 10,157 "," 6,238 "
인천광역시,부평구," 494,641 "," 244,210 "," 250,431 "," 472,289 "," 233,036 "," 239,253 "," 22,352 "," 11,174 "," 11,178 "
인천광역시,계양구," 290,967 "," 143,944 "," 147,023 "," 286,332 "," 141,989 "," 144,343 "," 4,635 "," 1,955 "," 2,680 "
인천광역시,서구," 551,026 "," 279,909 "," 271,117 "," 534,648 "," 269,444 "," 265,204 "," 16,378 "," 10,465 "," 5,913 "
